,序,,,,
,,名称,文件编码,执行日期,编订部门
,号,,,,
,60,搅拌测试操作规程,YED-SOP 107,2021/10/10,工程部
,61,制氢控制系统使用和维护规程,YED-SOP 109,2021/05/31,工程部
,62,加氢控制系统使用和维护规程,YED-SOP 110,2021/08/05,工程部
,63,有机热载体燃煤油炉安全操作规程,YED-SOP 111,2021/10/15,工程部
,64,带涂层设备电火花检测操作规程,YED-SOP 112,2022/10/26,工程部
,65,超声波测厚仪操作规程,YED-SOP 113,2022/09/10,工程部
,66,送风系统使用维护规程,YED-SOP114,2021/07/10,工程部
,67,物料输送分装系统使用维护规程,YED-SOP 115,2023/04/07,工程部
,68,快开式过滤器使用维护规程,YED-SOP 118,2023/04/07,工程部
,69,冷风机使用维护规程,YED-SOP 119,2023/04/07,工程部
,70,管链输送机使用维护规程,YED-SOP 120,2023/06/08,工程部
,71,冷水机组安全操作规程,YED-SOP 121,2021/10/15,工程部
,72,滤芯完整性测试规程,YED-SOP 126,2022/05/30,工程部
,73,叉车安全操作规程,YWH-SOP 01,2023/02/20,仓储部
,74,搬运工、装卸工安全操作规程,YWH-SOP 08,2022/11/15,仓储部
,75,除湿机操作及维护规程,YWH-SOP 106,2021/02/01,仓储部
,76,控温库简易空调机组使用维护规程,YWH-SOP114,2022/02/10,仓储部
,77,亚油生产安全操作规程,YP17-SOP 37,2023/01/31,一车间
,78,N-氨基杂环盐酸盐生产安全操作规程,YP17-SOP 38,2024/01/05,一车间
,79,格列齐特粗品生产安全操作规程,YP 17-SOP 22,2023/10/24,一车间
,80,亚氨基二苄加氢生产安全操作规程,YP 1-SOP 01,2023/12/05,二车间
,81,亚氨基二苄浓缩生产安全操作规程,YP 1-SOP 02,2023/07/18,二车间
,82,亚氨基二苄环合生产安全操作规程,YP 1-SOP 03,2023/11/18,二车间
,83,亚氨基二苄精制生产安全操作规程,YP 1-SOP 11,2023/09/10,二车间
,,二溴亚氨基二苄甲酰氯（双溴物）,,,
,,"10,11-",,,三车间
,84,生产安全操作规程,YP 12-SOP 86,2023/12/20,
,,甲氧基亚氨芪（水解及精制）生产安全,,,
,,10-,,,三车间
,85,操作规程,YP 12-SOP 78,2024/01/10,
1,.11.,5 应急预案及其演练,,,
,企,业已制订基于企业危险性特点的生产安,全事故应急预案,。并在当地应,急管理部
门,登记,备案（备案编号：3310022023022），有,效期：2026年0,9月14日。企,业定期根
据,预案,的规定开展预案演练，包括厂级全员预,案演练，以及车,间级的演练,，厂级全员
预,案演,练每年不少于两次，近三年开展的全员,参与的预案演练,情况如下。,
浙,江泰,鸽安全科技有限公司编制,,,143
