,,《化工和危险化学品生产经营单,,
,,位重大生产安全事故隐患判定标,,
,,准（试行）》第十七条。,,
,动火、进入受限空间等特殊作业管理,,,
,,《安全生产法》；,,
,制度不符合国家标准，实施特殊作业,,,已按要求建立特
,,《化工和危险化学品生产经营单,,
15,前未办理审批手续或风险控制措施,,符合,殊作业管理制
,,位重大生产安全事故隐患判定标,,
,未落实，且重大事故隐患排除前或者,,,度，并遵照执行。
,,准（试行）》第十八条。,,
,排除过程中无法保证安全的。,,,
,列入精细化工反应安全风险评估范,《安全生产法》；,,
,围的精细化工生产装置未开展评估，,《化工和危险化学品生产经营单,,已开展风险评
16,,,符合,
,且重大事故隐患排除前或者排除过,位重大生产安全事故隐患判定标,,估。
,程中无法保证安全的。,准（试行）》第十九条。,,
,未按国家标准分区分类储存危险化,,,
,,《安全生产法》；,,
,学品，超量、超品种储存危险化学品，,,,
,,《化工和危险化学品生产经营单,,危险化学品分类
17,相互禁配物质混放混存，且重大事故,,符合,
,,位重大生产安全事故隐患判定标,,储存，符合要求。
,隐患排除前或者排除过程中无法保,,,
,,准（试行）》第二十条。,,
,证安全的。,,,
三、限期改正类,,,,
序,,,检查,
,分类内容,标准条款,,实际情况
号,,,结果,
,涉及“两重点一重大”建设项目未按,《安全生产法》；,,已开展危险与可
1,要求组织开展危险与可操作性分析,《危险化学品企业安全风险隐患,符合,操作性分析
,（HAZOP）。,排查治理导则》3.2.3。,,（HAZOP）。
,重大危险源未按国家标准配备温度、,,,
,压力、液位、流量、组分等信息的不,,,
,间断采集和监测系统以及可燃气体,,,重大危险源监控
,,《危险化学品重大危险源监督管,,
2,和有毒有害气体泄漏检测报警装置，,,符合,仪器仪表符合规
,,理暂行规定》第十三条第一项。,,
,并具备信息远传、连续记录、事故预,,,范要求。
,警、信息储存（不少于30天）等功,,,
,能。,,,
,现有涉及硝化、氯化、氟化、重氮化、,,,
,过氧化工艺的精细化工生产装置未,,,
,完成有关产品生产工艺全流程的反,,,
,应安全风险评估，同时未按照《关于,,,
,加强精细化工反应安全风险评估工,,,
,,《安全生产法》；,,已开展风险评
,作的指导意见》（安监总管三〔2017〕,,,
,,《化工和危险化学品生产经营单,,估，并按评估要
3,1号）的有关方法对相关原料、中间,,符合,
,,位重大生产安全事故隐患判定标,,求采取安全措
,产品、产品及副产物进行热稳定性测,,,
,,准（试行）》第十九条。,,施。
,试和蒸馏、干燥、储存等单元操作的,,,
,风险评估；已开展反应安全风险评估,,,
,的企业未根据反应危险度等级和评,,,
,估建议设置相应的安全设施，补充完,,,
,善安全管控措施的。,,,
,涉及爆炸危险性化学品的生产装置,《安全生产法》；,,
,控制室、交接班室布置在装置区内，,《危险化学品生产企业安全生产,,
4,且未完成搬迁的；涉及甲乙类火灾危,许可证实施办法》第八条第三款，,——,不涉及。
,险性的生产装置控制室、交接班室布,第九条第四、五款；,,
,置在装置区内，但未按照《石油化工,《危险化学品企业安全风险隐患,,
