,需控制温度的单元应设置温度指示装置、超,HJ/T387-2007,不涉,吸收塔无温度控
15,,,,
,温声光报警装置及应急处理系统。,第4.3.3条,及,制单元。
,需控制压力的单元应设置压力指示和泄压,HJ/T387-2007,,吸收塔无压力控
16,,,符合,
,装置，其性能应符合安全技术的有关要求。,第4.3.4条,,制单元。
,污染物为易燃易爆气体时，应采用防爆风机,HJ/T387-2007,,现场为防爆风机
17,,,符合,
,和电机。,第4.3.5条,,和电机。
,由计算机控制的净化装置应同时具备手动,HJ/T387-2007,,
18,,,符合,现场为手动操作
,操作功能。,第4.3.6条,,
,净化装置气体进出口管道上应设置气体采,HJ/T387-2007,,
19,,,符合,已设置采样口。
,样口。,第4.4条,,
,蓄热燃烧法工业有机废气治理工程（以下简,,,
,,,,RTO 工程符合相
,称“治理工程”）应符合《建设项目环境保,,符合,
20,,HJ1093-2020,,关要求。
,护管理条例》的相关要求。,,,
,经过治理后的污染物向环境排放时，应符合,,,治理后排放符合
,国家和地方相关污染物排放标准的规定，满,,,污染物问题控制
,,,符合,
21,,HJ1093-2020,,
,足环境影响评价文件批复意见、主要污染物,,,及排污许可等要
,总量控制及排污许可等要求。,,,求。
,两室蓄热燃烧装置的净化效率不宜低于,,,
,,,,净化效率不低于
22,95%，多室或旋转式蓄热燃烧装置的净化效,HJ1093-2020,符合,。
,,,,98%
,率不宜低于98%,,,
,蓄热燃烧装置的热回收效率一般不宜低于,,,热回收效率不低
23,,HJ1093-2020,符合,
,90%。,,,于90%。
,治理工程应有故障自动报警和保护装置，并,,,设有故障报警和
24,,HJ1093-2020,符合,
,符合安全生产、事故防范的相关规定,,,保护装置。
,当废气产生点较多、彼此距离较远时，在满,,,
,,,,设有多套收集系
25,足风管相关设计规范、风压平衡的基础上，,HJ1093-2020,符合,
,,,,统。
,应适当分设多套收集系统或中继风机。,,,
,,,,已根据废气的成
,预处理工艺应根据废气的成分、性质和污染,,,
26,物的含量等因素进行选择。,HJ1093-2020,符合,分、性质和含量等
,,,,进行选择。
,当废气含有酸、碱类气体时，宜采用中和吸,,,采用中和吸收预
,,,符合,
27,,HJ1093-2020,,
,收等工艺进行去除。,,,处理装置。
,,,,已设置温度自动
28,燃烧器应具备温度自动调节的功能。,HJ1093-2020,符合,
,,,,调节装置。
,当废气浓度波动较大时，应对废气进行实时,,,
,监测，并采取稀释、缓冲等措施，确保进入,,,设有废气浓度在
,,,符合,
29,,HJ1093-2020,,
,蓄热燃烧装置的废气浓度低于爆炸极限下,,,线检测仪表。
,限的25%。,,,
,应在治理工程与主体生产工艺设备之间的,,,
,管道系统中安装阻火器或防火阀，阻火器应,,,
,,,符合,已设置阻火器。
30,,HJ1093-2020,,
,符合 GB/T13347 的相关规定，防火阀应符,,,
,合GB15930的相关规定。,,,
,治理工程的防爆泄压设计应符合 GB50160,,,
,,,符合,已设置泄压装置。
31,,HJ1093-2020,,
,的相关规定。,,,
,燃烧器点火操作应符合 GB/T19839 的相关,,,
,,,符合,符合相关要求。
32,,HJ1093-2020,,
,规定。,,,
,燃料供给系统应设置高低压保护和泄漏报,,,已设置相关报警
33,,HJ1093-2020,符合,
,警装置。,,,装置。
