,,,—,,GB18218-2018中列名,,500
7,乙,酸乙酯,—,,GB18218-2018中列名,,500
8,,丙酮,—,,GB18218-2018中列名,,500
9,四,氢呋喃,W5.3,,易燃液体，类别2,,1000
10,硼,氢化钾,W11,,遇水放出易燃气体的物质和混合物，类,别1,200
11,,锌粉,W11,,遇水放出易燃气体的物质和混合物，类,别1,200
12,亚,硝酸钠,W9.2,,氧化性固体，类别3,,200
13,,柴油,W5.4,,易燃液体，类别3,,5000
根据,,GB18218-20,18规定：,重,大危险源辨识单元为涉及危险化学,品生产、储,存装
施或场,,所，分为生,产单元和,储,存单元。储存单元为用于储存危险,化学品的储,罐或
组成的,,相对独立的,区域，储,罐,区以罐区防火堤为界限划分为独立,的单元，仓,库以
库房（,,独立建筑物,）为界限,划,分为独立的单元。依照以上规定，,企业各车间,、仓
区等生,,产、储存单,元作为独,立,的单元进行辨识。危险物质生产、,储存场所辨,识情
下表：,,,,,,,
,,,表 4.3-2,本,项目厂区重大危险源辨识一览表,,
序,,,,,最大存在 临界量Q,,
,,场所,危,险物,质,,小计
,,,,,,q/Q,
号,,,,,量q（t） （t）,,
,,,,甲醇,6 500,0.012,
,,,甲醇,（制,氢） 0.04 50,0.00008,
1,,3号楼,,乙醇,4 500,0.008 0,.1132
,,,乙醇,（加,氢） 4.3 50,0.086,
,,,,氢,0.036 5,0.0072,
,,,,乙醇,6 500,0.012,
2,,6号楼,,,,,0.014
,,,,甲苯,1 500,0.002,
,,,,甲苯,11 500,0.022,
3,,7号楼,,,,,0.022
,,,,丙酮,1 500,0.002,
,,,乙,酸乙,酯 0.6 500,0.0012,
,,,,甲苯,10 500,0.02,
,,,四,氢呋,喃 3 1000,0.003,
4,,8号楼,,,,0,.028
,,,,锌粉,0.3 200,0.0015,
,,,亚,硝酸,钠 0.3 200,0.0015,
,,,,乙醇,0.5 500,0.001,
5,,9号楼,乙,酸乙,酯 5 500,0.01,0.01
6,,10号楼,,甲苯,16 500,0.032,0.042
