,控制室抗爆设计规范》（GB50779）,排查治理导则》附件《安全风险,,
,完成抗爆设计、建设和加固的。,隐患排查表》“2设计与总图安全,,
,,风险隐患排查表（二）总图布局”,,
,,第七项。,,
,,《安全生产法》；,,
,涉及硝化、氯化、氟化、重氮化、过,《危险化学品生产企业安全生产,,
5,氧化工艺装置的上下游配套装置未,许可证实施办法》第九条；,——,不涉及。
,实现自动化控制。,《危险化学品安全使用许可证管,,
,,理办法》第七条第三款。,,
,,,,控制室、机柜间
,,《安全生产法》；,,面向具有火灾、
,控制室或机柜间面向具有火灾、爆炸,,,
,,《化工和危险化学品生产经营单,,爆炸危险性装置
6,危险性装置一侧不满足国家标准关,,符合,
,,位重大生产安全事故隐患判定标,,一侧可满足国家
,于防火防爆的要求。,,,
,,准（试行）》第十三条。,,标准关于防火防
,,,,爆的要求。
,,《安全生产法》；,,
,未按照标准设置、使用有毒有害、可,《危险化学品生产企业安全生产,,
,燃气体泄漏检测报警系统；可燃气体,许可证实施办法》第九条第一款,,已按设计要求安
7,和有毒气体检测报警信号未发送至,第三项；,符合,装气体泄漏报警
,有人值守的现场控制室、中心控制室,《化工和危险化学品生产经营单,,装置。
,等进行显示报警。,位重大生产安全事故隐患判定标,,
,,准（试行）》第十二条。,,
,,《安全生产法》；,,
,地区架空电力线路穿越生产区且不,《化工和危险化学品生产经营单,,
8,,,——,不涉及。
,符合国家标准要求。,位重大生产安全事故隐患判定标,,
,,准（试行）》第九条。,,
,,《安全生产法》；,,
,,《化工和危险化学品生产经营单,,
,,位重大生产安全事故隐患判定标,,
,化工生产装置未按国家标准要求设,准（试行）》第十四条；,,供电设施符合规
9,,,符合,
,置双重电源供电。,《供配电系统设计规范》,,范要求。
,,（GB50052-2009）3.0.2；,,
,,《石油化工装置电力设计规范》,,
,,（SH/T3038-2017）4.1、4.2。,,
,涉及“两重点一重大”生产装置和储,,,
,存设施的企业，新入职的主要负责人,,,
,和主管生产、设备、技术、安全的负,,,
,责人及安全生产管理人员不具备化,,,
,,中共中央办公厅、国务院办公厅,,
,学、化工、安全等相关专业大专及以,,,企业新入职的安
,,《关于全面加强危险化学品安全,,
,上学历或化工类中级及以上职称；新,,,全负责人、安全
,,生产工作的意见》“十一、加强专,,
10,入职的涉及重大危险源、重点监管化,,符合,管理人员、操作
,,业人才培养”；,,
,工工艺的生产装置、储存设施操作人,,,人员符合相关规
,,《危险化学品生产企业安全生产,,
,员不具备高中及以上学历或化工类,,,范的要求。
,,许可证实施办法》第十六条。,,
,中等及以上职业教育水平；新入职的,,,
,涉及爆炸危险性化学品的生产装置,,,
,和储存设施的操作人员不具备化工,,,
,类大专及以上学历。,,,
